States/UTs,Number of Households (Hhs) by Source of Drinking Water - Total House- holds,Number of Households (Hhs) by Source of Drinking Water - Tap - Treated Source,Number of Households (Hhs) by Source of Drinking Water - Tap - Un Treated Source,"Number of Households (Hhs) by Source of Drinking Water - Hand Pump &Tube Well, Borehole",Number of Households (Hhs) by Source of Drinking Water - Well - Covered,Number of Households (Hhs) by Source of Drinking Water - Well - Un covered,Number of Households (Hhs) by Source of Drinking Water - All Others
Andhra Pradesh,2421268,1883817,150341,261637,10417,47244,67812
Arunachal Pradesh,4005,444,1494,1861,12,38,156
Assam,48122,12410,1074,25490,1521,4677,2950
Bihar,194065,22760,7509,152564,1515,5252,4465
Chhattisgarh,395297,168218,72374,127204,3891,19432,4178
Goa,4846,4538,189,6,17,18,78
Gujarat,360291,261793,42761,37413,1478,708,16138
Haryana,325997,208355,30227,72908,1558,932,12017
Himachal Pradesh,14240,13174,218,503,86,37,222
Jammu & Kashmir,96990,61904,26350,5080,567,139,2950
Jharkhand,79200,17134,4631,39013,2531,14319,1572
Karnataka,728277,491339,117819,75900,4903,15130,23186
Kerala,54849,29185,2601,1273,7742,13619,429
Madhya Pradesh,1086692,525635,135668,325874,12871,51128,35516
Maharashtra,2449530,2121907,90313,153705,11617,22251,49737
Meghalaya,10936,6717,543,215,637,483,2341
Mizoram,16240,9189,1707,377,460,289,4218
Nagaland,15268,626,4859,2331,1383,2304,3765
Odisha,350306,122649,19897,137272,15335,46841,8312
Punjab,296482,179047,27849,85062,377,258,3889
Rajasthan,383134,291176,26933,41139,2059,2461,19366
Sikkim,8612,6170,1808,6,24,NA,604
Tamil Nadu,1451690,974400,196122,193264,12137,28245,47522
Tripura,33830,16372,3555,12527,203,732,441
Uttar Pradesh,992728,383273,67573,518549,3602,3772,15959
Uttrakhand,89398,61001,4944,22357,132,51,913
West Bengal,1393319,776557,103869,452838,8305,28696,23054
A&N Islands,3053,2923,16,3,NA,94,17
Chandigarh,22080,16019,4544,1121,81,7,308
Delhi,383609,281081,42153,44138,474,247,15516
Puducherry,35070,31959,2487,406,12,136,70
India,13749424,8981772,1192428,2792036,105947,309540,367701
