States/UTs,Total number of households,Main Source of lighting - Electricity,Main Source of lighting - Kerosene,Main Source of lighting - Solar energy,Main Source of lighting - Other oil and Any other,Main Source of lighting - No lighting
Andhra Pradesh,2421268,2338497,64248,8032,4517,5974
Arunachal Pradesh,4005,3468,525,1,NA,11
Assam,48122,35852,11879,130,56,205
Bihar,194065,106957,84405,464,1533,706
Chattisgarh,395297,364536,27961,304,1293,1203
Goa,4846,4715,119,5,2,5
Gujarat,360291,330597,21997,470,2113,5114
Haryana,325997,300979,18138,362,3962,2556
Himachal Pradesh,14240,13598,582,17,34,9
Jammu & Kashmir,96990,94173,1886,85,653,193
Jharkhand,79200,61106,17323,174,390,207
Karnataka,728277,672297,50129,908,1664,3279
Kerala,54849,52879,1828,49,61,32
Madhya Pradesh,1086692,975872,101570,1273,4264,3713
Maharashtra,2449530,2296617,127794,2871,8010,14238
Meghalaya,10936,10392,488,3,32,21
Mizoram,16240,16057,117,4,54,8
Nagaland,15268,15001,208,17,24,18
Odisha,350306,264546,77339,750,1423,6248
Punjab,296482,286539,6265,228,1652,1798
Rajasthan,383134,341361,35321,384,2828,3240
Sikkim,8612,8518,61,NA,1,32
Tamil Nadu,1451690,1355952,85134,781,3199,6624
Tripura,33830,31028,2478,147,55,122
Uttar Pradesh,992728,774259,198115,2858,10974,6522
Uttarakhand,89398,83847,4461,165,503,422
West Bengal,1393319,1178923,181842,16626,5825,10103
A & N Islands,3053,2993,52,NA,3,5
Chandigarh,22080,19440,2016,153,199,272
Delhi,383609,373160,8682,280,974,513
Puducherry,35070,34002,991,2,19,56
India,13749424,12448161,1133954,37543,56317,73449
